time_s,Vin_V,Vc_V
0.0,0.48888761436683364,0.006531370235517195
1e-06,0.49975172949295416,0.003950010158622315
2e-06,0.4845880333998716,-0.005693172392103235
3e-06,0.49850661740679,0.009857146164819176
4e-06,0.5055022142964742,-0.006453116584760876
4.9999999999999996e-06,0.4983917793122222,0.0012697744937527175
6e-06,0.4994100506502994,-0.0017575546793952214
7e-06,0.5160158569795383,0.008482423943611705
8e-06,0.5095110221448262,0.011896092522418775
9e-06,0.5007755026034404,0.01240553702575817
9.999999999999999e-06,0.5092021313991746,-0.004068950064123705
1.1e-05,0.5032561436331981,0.0016231833047108779
1.2e-05,0.5047422443420563,0.01728921885440975
1.3e-05,0.5007617602091718,0.006785222423461826
1.4e-05,0.5049609498696682,0.009441902018598576
1.4999999999999999e-05,0.5168424589352463,0.02035120411903659
1.6e-05,0.49834383384105496,0.023537695202749696
1.7e-05,0.5091595889479538,0.024552751157612258
1.8e-05,0.4904260859148362,0.01923174385069875
1.8999999999999998e-05,0.4948463600365463,0.019754507080576685
1.9999999999999998e-05,0.5087606852934243,0.011395979365880205
2.1e-05,0.5124206305767542,0.03136926252760001
2.2e-05,0.4934929953516428,0.01549419719563407
2.3e-05,0.5022600445866076,0.024143993961571675
2.4e-05,0.4780170185097135,0.010251179304962721
2.4999999999999998e-05,0.4881796474646275,0.03136319664603374
2.6e-05,0.48655661113558,0.02567463929827039
2.7e-05,0.48834980304868825,0.021151732186224823
2.8e-05,0.5002797315297564,0.030738344319494446
2.9e-05,0.5044179002103134,0.02329896054270337
2.9999999999999997e-05,0.5177533077510513,0.030572379527750264
3.1e-05,0.49176346748688243,0.035631198387067485
3.2e-05,0.5114635568274937,0.027583807877958767
3.2999999999999996e-05,0.4892090323297312,0.03651426772638216
3.4e-05,0.5142752837743473,0.05116270156780527
3.5e-05,0.5149380719125324,0.043956636000450765
3.6e-05,0.5089815228256719,0.03471008760192104
3.7e-05,0.47940138231327967,0.031990202735816375
3.7999999999999995e-05,0.49851677030450836,0.0327645362698216
3.9e-05,0.5047025049462802,0.043515352411443865
3.9999999999999996e-05,0.49212329624598206,0.04177706168516059
4.1e-05,0.502055001018241,0.051007933564804965
4.2e-05,0.49788725666403044,0.04864407949939367
4.2999999999999995e-05,0.5068436281033034,0.04534392363215937
4.4e-05,0.5117414198288331,0.027436371681387805
4.4999999999999996e-05,0.48832304388230713,0.063231129563903
4.6e-05,0.5174590296950399,0.03629188945563552
4.7e-05,0.5259811833303873,0.05230256717246235
4.8e-05,0.5023417566395337,0.04314608422821407
4.9e-05,0.5056589995739373,0.04634351348964961
4.9999999999999996e-05,0.5170110319680097,0.054680975887098776
5.1e-05,0.5151735641241979,0.054769461025847635
5.2e-05,0.5076454342381556,0.06150172231877655
5.3e-05,0.48141085018114715,0.06705025206239615
5.4e-05,0.4984964092219662,0.0593940089483285
5.4999999999999995e-05,0.49760967264078654,0.04818012160646192
5.6e-05,0.49539164946369996,0.05189091154474634
5.6999999999999996e-05,0.49920959968718914,0.06067124503440317
5.8e-05,0.4881050306029198,0.0578105341950809
5.9e-05,0.484707986925958,0.060909161099554965
5.9999999999999995e-05,0.49187278594643646,0.05012903377674904
6.1e-05,0.505215233674472,0.06170096066858787
6.2e-05,0.4967747890029727,0.0652331597828279
6.3e-05,0.48674857360944257,0.054485647540103835
6.4e-05,0.4752168877971382,0.06491834713842232
6.5e-05,0.5087059443758157,0.061967966646454466
6.599999999999999e-05,0.5001800555128767,0.05388927718426092
6.7e-05,0.5002173116802805,0.0534600900375804
6.8e-05,0.5064807250003756,0.07033727879367713
6.9e-05,0.5020278293484086,0.08474559800294498
7e-05,0.5000859856700405,0.06948434807736815
7.099999999999999e-05,0.49879202792271343,0.058202455158621595
7.2e-05,0.49883841229689185,0.07999403984911915
7.3e-05,0.5072998339028042,0.0685760349169815
7.4e-05,0.5060011324471037,0.0700205967635256
7.5e-05,0.5005873562884268,0.0809770043902243
7.599999999999999e-05,0.4789783016192034,0.07099980370058902
7.7e-05,0.5082993163586517,0.07227077726018331
7.8e-05,0.49334365841731775,0.06712216673492877
7.9e-05,0.5153013272967778,0.08866369613441949
